municipality,type,county,base_url,platform,status,detected_platform,detected_evidence,probe_status
Sea Bright,Borough,Monmouth,https://www.seabrightnj.org/sbnj,agendacenter,found,agendacenter,already_known,skip
Sea Girt,Borough,Monmouth,https://www.seagirt-nj.gov,unknown,not_found,agendacenter,html:AgendaCenter,ok
Sea Isle City,City,Cape May,https://www.seaislecitynj.us,unknown,not_found,unknown,,ok
Seaside Heights,Borough,Ocean,https://www.seaside-heightsnj.org,agendacenter,found,agendacenter,already_known,skip
Seaside Park,Borough,Ocean,https://www.seasideparknj.org,unknown,found,agendacenter,html:AgendaCenter,ok
Shamong,Township,Burlington,https://www.shamong.net,unknown,not_found,unknown,,ok
Shiloh,Borough,Cumberland,https://shilohborough.com,unknown,not_found,unknown,,ok
Ship Bottom,Borough,Ocean,https://www.shipbottom.org,unknown,not_found,unknown,,ok
Shrewsbury,Borough,Monmouth,http://www.townshipofshrewsbury.com/index.html,unknown,found,custom_pdf,pdf_links:4,ok
Shrewsbury,Township,Monmouth,http://www.townshipofshrewsbury.com/index.html,unknown,found,custom_pdf,pdf_links:4,ok
Somers Point,City,Atlantic,http://www.somerspointgov.org,unknown,found,custom_pdf,pdf_links:23,ok
South Amboy,City,Middlesex,http://www.southamboynj.gov,unknown,found,unknown,,ok
South Hackensack,Township,Bergen,https://www.southhackensacknj.org,unknown,found,custom_pdf,pdf_links:2,ok
South Harrison,Township,Gloucester,https://www.southharrison-nj.org,unknown,found,agendacenter,html:AgendaCenter,ok
Southampton,Township,Burlington,https://www.southamptonnj.org,unknown,not_found,unknown,,ok
Sparta,Township,Sussex,http://www.spartanj.org,agendacenter,found,agendacenter,already_known,skip
Spotswood,Borough,Middlesex,https://www.spotswoodboro.com,unknown,found,unknown,,ok
Spring Lake,Borough,Monmouth,,,no_url,skip,no_url,skip
Spring Lake Heights,Borough,Monmouth,https://springlakehts.com,unknown,found,unknown,,ok
Stafford,Township,Ocean,https://www.staffordnj.gov,agendacenter,found,agendacenter,already_known,skip
Stanhope,Borough,Sussex,https://stanhopenj.gov,unknown,found,unknown,,ok
Stillwater,Township,Sussex,https://stillwatertownshipnj.com,unknown,found,unknown,,ok
Stockton,Borough,Hunterdon,http://www.stocktonboronj.us,unknown,found,custom_pdf,pdf_links:13,ok
Stone Harbor,Borough,Cape May,https://stoneharbornj.org,unknown,not_found,unknown,,ok
Stow Creek,Township,Cumberland,https://stowcreektwp.org,unknown,found,unknown,,ok
Stratford,Borough,Camden,https://stratfordnj.org,unknown,found,agendacenter,html:AgendaCenter,ok
Summit,City,Union,https://www.cityofsummit.org,agendacenter,found,agendacenter,already_known,skip
Surf City,Borough,Ocean,,,no_url,skip,no_url,skip
Tabernacle,Township,Burlington,https://www.tabernacle-nj.gov,unknown,not_found,unknown,,ok
Tavistock,Borough,Camden,https://tavistocknj.org,unknown,found,unknown,,ok
Teaneck,Township,Bergen,https://www.teanecknj.gov,unknown,found,iqm2,html:iqm2\.com,ok
Tenafly,Borough,Bergen,https://www.tenaflynj.gov,unknown,not_found,unknown,,timeout
Teterboro,Borough,Bergen,https://www.teterboronj.org,unknown,found,unknown,,ok
Tewksbury,Township,Hunterdon,https://www.tewksburytwp.net,unknown,not_found,unknown,,ok
Toms River,Township,Ocean,https://tomsrivertownship.com,agendacenter,found,agendacenter,already_known,skip
Totowa,Borough,Passaic,http://www.totowanj.org,unknown,found,unknown,,ok
Union,Township,Hunterdon,https://uniontwp-hcnj.gov,civicplus,found,civicplus,already_known,skip
Union,Township,Union,https://uniontwp-hcnj.gov,civicplus,found,civicplus,already_known,skip
Union Beach,Borough,Monmouth,https://www.unionbeachnj.gov/ubnj,agendacenter,found,agendacenter,already_known,skip
Upper,Township,Cape May,https://uppertownship.com,unknown,found,unknown,,ok
Upper Deerfield,Township,Cumberland,https://upperdeerfield.com,unknown,not_found,unknown,,ok
Upper Freehold,Township,Monmouth,https://uftnj.com,unknown,found,agendacenter,html:AgendaCenter,ok
Upper Pittsgrove,Township,Salem,https://upperpittsgrovenj.org,unknown,found,custom_pdf,pdf_links:105,ok
Upper Saddle River,Borough,Bergen,https://www.usrtoday.org,agendacenter,found,agendacenter,already_known,skip
Ventnor City,City,Atlantic,https://www.ventnorcity.org,unknown,not_found,unknown,,ok
Verona,Township,Essex,https://www.veronanj.org,unknown,not_found,unknown,,ok
Victory Gardens,Borough,Morris,https://www.victorygardensnj.gov,unknown,found,unknown,,ok
Waldwick,Borough,Bergen,https://www.waldwicknj.org,unknown,not_found,unknown,,ok
Wall,Township,Monmouth,https://www.wallnj.gov,agendacenter,found,agendacenter,already_known,skip
Wallington,Borough,Bergen,https://www.wallingtonnj.org,unknown,found,agendacenter,html:AgendaCenter,ok
Walpack,Township,Sussex,https://walpackhistory.org,unknown,found,agendacenter,html:AgendaCenter,ok
Wanaque,Borough,Passaic,https://www.wanaqueborough.com,civicplus,found,civicplus,already_known,skip
Warren,Township,Somerset,https://warrennj.org,agendacenter,found,agendacenter,already_known,skip
Watchung,Borough,Somerset,https://watchungnj.gov,unknown,not_found,unknown,,ok
Wayne,Township,Passaic,https://www.waynetownship.com,unknown,found,agendacenter,html:AgendaCenter,ok
Weehawken,Township,Hudson,https://www.weehawken-nj.us,unknown,not_found,agendacenter,html:AgendaCenter,ok
West Caldwell,Township,Essex,https://www.westcaldwell.com,unknown,found,unknown,,ok
West Long Branch,Borough,Monmouth,https://www.westlongbranch.org,agendacenter,found,agendacenter,already_known,skip
West Wildwood,Borough,Cape May,https://westwildwood.org,unknown,not_found,unknown,,ok
West Windsor,Township,Mercer,https://www.westwindsornj.org,unknown,found,custom_pdf,pdf_links:10,ok
Westampton,Township,Burlington,https://www.westamptonnj.gov,unknown,not_found,agendacenter,html:AgendaCenter,ok
Westfield,Town,Union,https://www.westfieldnj.gov,agendacenter,found,agendacenter,already_known,skip
Westville,Borough,Gloucester,https://westville-nj.com,unknown,found,custom_pdf,pdf_links:452,ok
Westwood,Borough,Bergen,https://www.westwoodnj.gov,agendacenter,found,agendacenter,already_known,skip
Weymouth,Township,Atlantic,https://www.weymouthnj.org,unknown,not_found,unknown,,ok
White,Township,Warren,https://www.white-township.com,unknown,found,unknown,,ok
Wildwood,City,Cape May,https://wildwoodnj.org,agendacenter,found,agendacenter,already_known,skip
Wildwood Crest,Borough,Cape May,https://wildwoodcrest.org,unknown,found,agendacenter,html:AgendaCenter,ok
Winfield,Township,Union,,,no_url,skip,no_url,skip
Wood-Ridge,Borough,Bergen,https://www.njwoodridge.org,unknown,found,unknown,,ok
Woodbine,Borough,Cape May,https://www.boroughofwoodbine.net,unknown,found,unknown,,ok
Woodcliff Lake,Borough,Bergen,https://wclnj.com,unknown,found,unknown,,ok
Woodland,Township,Burlington,,,no_url,skip,no_url,skip
Woodland Park,Borough,Passaic,https://wpnj.us,unknown,not_found,unknown,,ok
Woodlynne,Borough,Camden,https://www.woodlynnenj.org,unknown,found,unknown,,ok
Woodstown,Borough,Salem,https://historicwoodstown.org,civicplus,found,civicplus,already_known,skip
Woolwich,Township,Gloucester,https://woolwichtwp.org,unknown,found,custom_pdf,pdf_links:9,ok
Wrightstown,Borough,Burlington,https://www.wrightstownborough.com,unknown,found,unknown,,ok
Wyckoff,Township,Bergen,https://www.wyckoffnj.gov,unknown,found,agendacenter,html:AgendaCenter,ok
